Subtopic,QuestionText,Opt1,Opt2,Opt3,Opt4,CorrectIndex
History,Which among the following is the most unique feature of Dholavira site of the Indus Valley Civilization?,Its cities were horizontally divided in multiple parts,Its cities were unevenly divided,Its cities were divided into 3 parts,None of these,2
History,The title “Paramasaugata” was adopted by ___?,Bhaskar Varman,Shashanka,Rajya Vardhana,Harsha,2
History,"In the Maurya empire, who looked after Markets and check wrong practices?",Samsthadhyaksha,Sitadhyaksha,Akaradhyaksha,Manadhyaksha,1
History,The achievements of Samudragupta are mentioned in which inscription?,Hathigumpha inscription,Allahabad Pillar inscription,Bairut inscription,Junagarh Pillar inscription,1
History,Which among the following era is identical with Gupta era?,Vikram era,Vallabhi era,Saka era,Harsha era,1
History,Which of the following are two works of Kalidasa?,Raghuvamsha and Kiratarjuniya,Kumara Sambhav and Raghuvamsha,Malti Madhava and Kumara Sambhava,Malti Madhav and Kumara Sambhava,1
History,“All Indians are Free and not even one of them is a slave”. Who among the following has observed the above about the Mauryan Empire?,Megasthenes,Hiuen Tsang,Ashoka,Strabo,0
History,Under whose reign were some Greeks or “Yavans” converted to the Vaishnava Cult?,Shungas,Nandas,Shakas,Satavahans,0
History,Which among the following are correct about Chola King Rajendra Chola-I?,He built a temple for Siva at Gangaikonda Cholapuram,He also built Tanjore Brihadisvara temple,He built Tanjore Brihadisvara temple for a tribute to his father,None of the above,0
History,At which of the following places Aphsad inscription has been found which gives account of later Guptas?,Bhagalpur,Gaya,Bhubneshwar,Alwar,1
Geography,TulBul Project is associated with which of the following rivers?,Indus,Ravi,Jhelum,Beas,2
Geography,The Khadakwasla Dam is located in which state?,Punjab,Maharashtra,Odisha,Karnataka,1
Geography,Which among the following rivers does not flow into Arabian Sea?,Narmada,Tapi,Sabarmati,Godavari,3
Geography,Which among the following is not a western ghat river?,Godavari River,Krishna River,Ganga River,Palar River,3
Geography,Arid Forest Research Institute is located in which state?,Rajasthan,Haryana,Punjab,Kerala,0
Geography,The water comes to Indira Gandhi Canal from the following Rivers?,Sutlej Only,Sutlej & Beas,"Sutlej , Beas & Ravi","Sutlej, Beas , Ravi & Chenab",1
Geography,Tropic of Cancer passes through how many states in India?,Six,Seven,Five,Eight,3
Geography,In India the rainfall is mainly orographic. Which among the following follows the word in bold?,The rainfall occurs when the moist air becomes saturate,The rainfall occurs when the masses of air pushed by wind are forced up by large mountains,The rainfall occurs on only one side of the mountains,The rainfall is lesser in Rain shadow areas,1
Geography,In which state “Bhima basin” where small to medium size low grade uranium deposits found is located ?,Andhra Pradesh,Karnataka,Tamil Nadu,Jharkhand,1
Geography,Which of the following is the minimum land area recommended for forest cover to maintain proper ecological balance in India?,25%,33%,43%,53%,1
Science,Which among the following minerals is also known as Horn Silver?,Silver Iodide,Silver Chroride,Zinc Phosphate,Silver Sulphide,1
Science,Which of the following are the limitations of Bohr’s model of atom?,it cannot explain spectrum of atoms containing more than one electron,it cannot explain the Zeeman effect,it cannot explain the Stark effect,All of the above,3
Science,What are the products of the reaction when metal carbonate reacts with an acid?,Salt and Hydrogen,Carbon dioxide,"Salt, Carbon dioxide and water","Salt, Carbon dioxide and Hydrogen",2
Science,Which among the following metals is the hardest metal?,Platinum,Gold,Iron,Tungsten,3
Science,Which of the following antiseptic compounds is present in Dettol?,Iodine,Cresol,Chloroxylenol,Biothional,2
Science,After whom is the chemical element with atomic number 102 named?,Charles Darwin,Albert Einstein,Alfred Bernhard Nobel,Isaac Newton,2
Science,What percentage of carbon is present in steel?,0.0 to 2.5,2.5 to 5.0,5.0 to 7.5,7.5 to 10.0,0
Science,Which of the following structures are present in the throat to prevent the air passage from collapsing?,Rings of cartilage,Rings of muscle,Rings of bone,Rings of connective tissue,0
Science,Hydrochloric acid is secreted by the cells lining the ____:,Stomach,Ileum,Oral cavity,Colon,0
Science,Heart attack occurs due to ____:,Impairment of hearts working due to unknown reasons,Bacterial attack on the heart,Lack of supply of blood to the heart itself,Stopping of heart beat,2
